question,true_chapter,true_verse,predicted_chapter,predicted_verse,is_correct,confidence_score
Does God also get bound by his actions?,4,14,4,14,True,0.9136795762000001
Did spiritual seekers of ancient times abstain from work or action?,4,15,4,15,True,0.9333382
Is it easy to understand the difference between action and inaction?,4,16,4,16,True,0.8528538706
Why is the way of action so mysterious?,4,17,4,17,True,0.8654422641999999
What is the relation between action and inaction?,4,18,4,18,True,0.8642144206
Who is a sage or pandit?,4,19,4,19,True,0.9098324296
What is the secret of inaction in action?,4,20,4,20,True,0.8800049782
How do sages stay away from evil?,4,21,4,21,True,0.954161656
How do sages remain free from bondage?,4,22,4,22,True,0.8735950348
How do sages dissolve their Karma?,4,23,4,23,True,0.9244287250000001
What is the concept of Brahman?,4,24,8,3,False,0.631632014036102
What are the different kinds of sacrifices that Yogis perform?,4,25,4,28,False,0.7943861992328928
What are the different kinds of oblations that Yogis perform?,4,26,4,27,False,0.8353455780087675
What are the kinds of oblations that Yogis perform?,4,27,4,27,True,0.8971823811999999
What are the kinds of sacrifices that Yogis perform?,4,28,4,28,True,0.8518160961447894
How do Yogis perform various austerities?,4,29,4,29,True,0.8571839926
What happens to those who subsist on sacrificial food?,4,30,4,30,True,0.8851300714
What happens to those who do not perform any sactifices?,4,31,4,31,True,0.8285305977999999
Is there only one correct way of performing sacrifices?,4,32,4,32,True,0.9000183346
Which is the highest sacrifice?,4,33,4,33,True,0.8776141641999999
How is the sacrifice of knowledge performed?,4,34,4,34,True,0.9344262124
What happens to those who know how to perform the sacrifice of knowledge?,4,35,4,35,True,0.8866398694
How can sinners attain liberation or salvation? Is there any hope for sinners?,4,36,4,36,True,0.9339907648
What does knowledge do to Karma?,4,37,4,37,True,0.8682920932
Which is the best or highest purifier?,4,38,4,38,True,0.8763339640000001
What happens to those who have faith?,4,39,4,40,False,0.8071124109548242
What happens to those who do not have faith?,4,40,4,40,True,0.8066394483548243
What happens to those who practice Karma Yoga?,4,41,4,41,True,0.9004011748
How to get rid of doubts about the Self?,4,42,4,42,True,0.8423195122
What did Arjuna ask after knowing in detail about the path of knowledge and the path of action?,5,1,5,1,True,0.9006422518
Is Karma Yoga better than renunciation of actions?,5,2,5,2,True,0.9531506776
How can one be free from bondage?,5,3,5,3,True,0.778588402
Is Sankhya Yoga different from Karma Yoga?,5,4,5,4,True,0.9063474892
Do the Sankhya Yogis reach the same state as the Karma Yogis?,5,5,5,5,True,0.9541854022
Why is renunciation so hard?,5,6,5,6,True,0.7860971926
How can one remain untainted and detached while performing action?,5,7,5,7,True,0.8431013224
How should one perform action?,5,8,5,8,True,0.7154855018527326
Can the senses perceive the mind?,5,9,5,9,True,0.9007920982000001
What happens to those who act without attachment?,5,10,5,10,True,0.7768403530000001
Why do Yogis perform action?,5,11,5,11,True,0.8751139882000001
What is the difference between a Yogi and an ordinary person? What happens to a Yogi who has renounced all fruits of his actions? What happens to a detached Yogi? What happens to a person who is unable to give up attachment?,5,12,5,12,True,0.9568964722000001
What kind of attitude should one have towards work and duty?,5,13,5,13,True,0.81924994
Does the Self create actions and their fruits or results?,5,14,5,14,True,0.8741061567999999
Does God keep track of a person's sins and merits?,5,15,5,15,True,0.9172773478
How can ignorance be destroyed?,5,16,5,16,True,0.876489496
How can impurities be removed?,5,17,5,17,True,0.7695547917456047
How do sages look upon saints and sinners?,5,18,5,18,True,0.9139235494
How do equanimous people see the world?,5,19,5,19,True,0.8140553596
How do equanimous people react towards pleasure and pain?,5,20,5,20,True,0.8868136
How can one enjoy endless happiness?,5,21,5,21,True,0.876291907
Why is it necessary to be detached from pleasure?,5,22,5,22,True,0.9305444476
Who is a Yogi? Who is happy? What beings happiness? What brings joy?,5,23,5,23,True,0.9417790414
Who attains Moksha? Who attains absolute freedom?,5,24,5,24,True,0.886718905
Who attains the bliss of Brahman?,5,25,5,25,True,0.8945453404
Who achieves absolute freedom?,5,26,5,26,True,0.8906784532
How should one meditate?,5,27,6,12,False,0.7202821867681747
How does a sage become eternally free?,5,28,5,28,True,0.9246591094000001
How do the sages view God?,5,29,5,29,True,0.8683776376000001
Who is a sannyasin?,6,1,6,1,True,0.8627341984
what is the difference between the path of knowledge and Karma Yoga?,6,2,6,2,True,0.9077852962
for how long should a yogi continue to perform action?,6,3,6,3,True,0.8665803076
when is a person said to be established in Yoga?,6,4,6,4,True,0.914637697
Can our self be our enemy? Can I be my own enemy? Who is our enemy?,6,5,6,5,True,0.9526797532
who is our friend and who is our enemy?,6,6,6,6,True,0.8881756
what are the traits of a person with self control?,6,7,6,7,True,0.9211788178
who is a real saint?,6,8,6,8,True,0.8223558664
how should we treat our enemies and haters?,6,9,6,9,True,0.9049487709999999
how can a yogi control his mind?,6,10,6,10,True,0.9244774701999999
how should we sit for meditation? While meditating should we sit on the floor or on a chair or on the bed? Can I meditate while sitting in a chair? Can I meditate while sleeping in my bed? Can I meditate while sitting on my bed?,6,11,6,11,True,0.9673897384
what is the best way to meditate?,6,12,6,12,True,0.8931329248
how should we hold our body during meditation?,6,13,6,13,True,0.8749683262
what should we think during meditation?,6,14,6,14,True,0.8592555392518015
What is the benefit of meditation?,6,15,6,15,True,0.8442570006057375
how long should we sleep daily? What is the importance of moderation? Is it good to fast for a long time?,6,16,6,16,True,0.8400297286
is it good to be a workaholic? Is overeating a bad idea?,6,17,6,17,True,0.7850131156
who is truly spiritual?,6,18,6,18,True,0.859031248
what is a simple analogy for the mind of a yogi? Where in the Gita is the analogy of a lamp in the wind? What are the attributes of a meditative mind?,6,19,6,19,True,0.9657652852
what happens when the mind is controlled by the practice of Yoga?,6,20,6,20,True,0.9144275902
what is absolute happiness?,6,21,6,21,True,0.8638261438
do Yogis also have desires? How can we handle sorrow? How can we handle grief?,6,22,6,22,True,0.9728539708
how can we get rid of sorrow and pain? How can we get rid of misery?,6,23,6,23,True,0.8822635768
How should we handle our desires?,6,24,6,24,True,0.7921228088411654
how can we withdraw the senses from the objects?,6,25,6,25,True,0.9090316654
How can I control my unsteady and fickle mind?,6,26,6,26,True,0.900917053
Is it possible to become free from evil?,6,27,6,27,True,0.8131691578
What happens when the mind becomes free from impurities?,6,28,6,28,True,0.8152740478
How can we experience the same Self in all beings?,6,29,6,29,True,0.9250295044
Where can we find God?,6,30,6,30,True,0.8980495216
Do all Yogis live in the same way?,6,31,6,31,True,0.8686132432
Who is the highest Yogi?,6,32,6,32,True,0.8775445342
Was Arjuna convinced that the fickle mind can be controlled?,6,33,6,33,True,0.9299589394000001
Why did Arjuna think that controlling the mind is very difficult?,6,34,6,34,True,0.9372344854
What are the primary ingredients required to control the mind?,6,35,6,35,True,0.8761201383999999
What kind of person can attain Yoga?,6,36,6,36,True,0.9114688989999999
What did Arjuna ask about those who are unable to control themselves?,6,37,6,37,True,0.9062854767999999
What did Arjuna ask about those who fail to attain perfection in Yoga?,6,38,6,38,True,0.960114658
Did Arjuna have full faith in Krishna?,6,39,6,39,True,0.9600004
Do those who fail to attain perfection in Yoga end up suffering like others?,6,40,6,40,True,0.909747565
How can we attain birth in a pure family?,6,41,6,41,True,0.8911385776
What happens to those who fail to attain perfection in Yoga?,6,42,6,42,True,0.9222436906
Does the good effects of our Yoga practice get carried forward to next birth?,6,43,6,43,True,0.9016856668000001
Does our practice of Yoga in this life get carried forward to the next life?,6,44,6,44,True,0.8813260912
Is it possible to attain the state of Yoga in just one human birth?,6,45,6,45,True,0.9156463864
Are Yogis higher than the ritualists?,6,46,6,46,True,0.9089778064
Who is the best Yogi?,6,47,6,47,True,0.8942605258
Did Arjuna get to hear the full knowledge of Yoga in the Gita?,7,1,7,1,True,0.9751803754
Did Krishna reveal the full knowledge of Yoga in the Gita?,7,2,7,2,True,0.9669673084
Is it easy to know the truth?,7,3,7,3,True,0.8892347098
How many parts does Prakriti have? What is Prakriti? What are the constituents of Prakriti? What is Prakriti composed of?,7,4,7,4,True,0.9042725326
Is there something beyond or deeper than the physical world we see around us?,7,5,7,5,True,0.8062796355999999
What is the source of birth of all beings?,7,6,7,6,True,0.9068000314
Is there anything higher than God in this universe?,7,7,7,7,True,0.8667882682
What is Om? What is AUM?,7,8,7,8,True,0.8011702796536262
What can God be compared with in the physical world?,7,9,7,9,True,0.8855982064000001
What is intelligence?,7,10,7,10,True,0.8044745139856988
Can we compare God with desires?,7,11,7,11,True,0.9001601338
What are the three states of physical matter or Prakriti?,7,12,7,12,True,0.9086379526
Why is it so difficult to know God?,7,13,7,13,True,0.908799958
How can we overcome the delusion caused by Maya?,7,14,7,14,True,0.9065806984
What is a sign of ignorance in human beings?,7,15,7,15,True,0.8902039528000001
What kind of people worship God?,7,16,7,16,True,0.8265174748
Who is dearest to God? Are the wise dear to God?,7,17,7,17,True,0.9508220914
Who is closest to God?,7,18,7,18,True,0.8672930242
Is it easy to find a man of knowledge?,7,19,7,19,True,0.8746824742
How do worldly minded people worship God?,7,20,7,20,True,0.8959580422
Is there only way to worship God? Can we worship God in any way we like?,7,21,7,21,True,0.9671393278
Does God answer prayers for fulfilment of material desires?,7,22,7,22,True,0.9460759756
What is the highest form of prayer?,7,23,7,23,True,0.8829932806
How do ignorant people view an Avatar?,7,24,7,24,True,0.9192648652
Can deluded people understand God?,7,25,7,25,True,0.8666397094
Is it possible for the human mind to understand God?,7,26,7,26,True,0.9003326536
What is the primary cause of delusion?,7,27,7,27,True,0.8763983368
How do pray to God once they are free from delusions?,7,28,7,28,True,0.9082588318
What should we ask for from God?,7,29,7,29,True,0.8682492496
Is it possible to remember God at the time of death?,7,30,7,30,True,0.891111934
What did Arjuna want to know about Brahman?,8,1,8,1,True,0.8560276744
What did Arjuna want to know about sacrifice?,8,2,8,2,True,0.9072392344
What is Brahman?,8,3,8,3,True,0.753497520998827
Can God exist in a human body? What is the Purusha? Who is Purusha?,8,4,8,4,True,0.9047523262
What is the best way to die?,8,5,8,5,True,0.8624457718
How is the next birth of a person decided?,8,6,8,6,True,0.8777606488
Why should we think about God?,8,7,8,7,True,0.8605846
What happens if we meditate and do Yoga with focus?,8,8,8,8,True,0.8896847842
What happens to those who meditate on God?,8,9,8,9,True,0.8145027399727574
How should one leave one's body while dying?,8,10,8,10,True,0.9041658166000001
Is there any imperishable goal in this universe?,8,11,8,11,True,0.8740642426
How should one do Yoga? How to practice concentration?,8,12,8,12,True,0.9282088516
What is the best way to leave the body after death?,8,13,8,13,True,0.8835324046
What happens to those who remember God uninterruptedly?,8,14,8,14,True,0.8820648790000001
Are Yogis who have attained the higher perfection in this life once again born in a human body?,8,15,8,15,True,0.9495281578
Is there rebirth for a person who has reached God?,8,16,8,16,True,0.9124819876
How long is one day of Brahma?,8,17,8,17,True,0.798733
How does the universe manifest from the unmanifested?,8,18,8,18,True,0.8980941178
What makes a soul born again and again?,8,19,8,19,True,0.8800299766
Is there anything eternal in this every changing universe?,8,20,8,20,True,0.9155929924
What happens to those who have reached God's abode?,8,21,8,21,True,0.8678709148
What is the benefit of developing devotion?,8,22,8,22,True,0.8566357851999999
Is there any significance of time in the attainment of Yoga?,8,23,8,23,True,0.9136863706
What is the path in time followed by those who attain Yoga?,8,24,8,24,True,0.8904789328
What happens after the Yogi attains the lunar light?,8,25,8,25,True,0.9184826614
What are the two black and white paths of the world?,8,26,8,26,True,0.9153317451999999
Why should we practice Yoga steadfastly?,8,27,8,27,True,0.9103810312
Is it possible to transcend the rituals of the Vedas?,8,28,8,28,True,0.9299670934
Why did Krishna reveal such deep knowledge and truth to Arjuna?,9,1,9,1,True,0.9552829978
Is there something beyond the reach of science?,9,2,9,2,True,0.874933672
What happens to those who don't have faith?,9,3,4,40,False,0.6603696838946975
Where does God live?,9,4,9,4,True,0.8440376284
Does God exist in all beings?,9,5,9,5,True,0.8744441512
What is the relation between God and invidual human beings?,9,6,9,6,True,0.885779989
How does the cycle of time proceed?,9,7,9,7,True,0.8016808630000001
Who or what causes human beings to be born?,9,8,9,8,True,0.9090834856
Does God get tangled in the web of Karma?,9,9,9,9,True,0.8583263992
Is God involved in the birth and death of living beings?,9,10,9,10,True,0.8717317222000001
Is it wise to believe in God?,9,11,9,11,True,0.8703386902000001
What is the nature of deluded people?,9,12,9,12,True,0.9142911556
How do wise people view God?,9,13,9,13,True,0.8231952888267349
How do wise people treat God?,9,14,9,14,True,0.9065145729999999
How else can one worship God?,9,15,9,15,True,0.887562442
What are the characteristics of God?,9,16,1,25,False,0.8521630762000001
Who is the father of this world? Who is the mother of this world? Who is the dispenser of the fruits of action?,9,17,9,17,True,0.942641461
Who is the supporter of this universe? Who is the witness of this universe?,9,18,9,18,True,0.9169805884
Who is the cause of immortality and death?,9,19,9,19,True,0.8505004
How can we reach heaven?,9,20,9,20,True,0.8624429824
Is heaven eternal?,9,21,9,21,True,0.8838222981999999
Does God take care of those who worship him or her?,9,22,9,22,True,0.8988109468000001
Are the Gods of all religions the same?,9,23,9,23,True,0.9036397102
Who is the lord of all the sacrifices?,9,24,9,24,True,0.9174692152
Do all religious people reach the same God?,9,25,9,25,True,0.9151492474
What should we give to God?,9,26,9,26,True,0.8402389352368143
What kind of attitude should we have towards God? How should we eat our food? What is devotion? What is love? What is Bhakti? What is faith? How can I best utilise my time? What is the best use of time? What is the best way to live?,9,27,9,27,True,0.9378842949999999
Can we get rid of the bad results of our actions or Karma and keep only the good ones?,9,28,9,28,True,0.8969391226
Does God treat everyone equally?,9,29,9,29,True,0.911329639
Do sinful people also have a hope for liberation?,9,30,9,30,True,0.9328677418
Does God take care of his devotees?,9,31,9,31,True,0.8962094188
Is liberation reserved only for upper caste people? Can women attain libertation? Can lower caste people attain liberation? Can shudras attain liberation?,9,32,9,32,True,0.9703142044
Can royal saints attain salvation?,9,33,9,33,True,0.9151430248
What is the best way to achieve salvation?,9,34,9,34,True,0.8920775296
Was Arjuna dear to Krishna?,10,1,10,1,True,0.9309820753580408
